hd,Bishop,Cooney,Gianforte
HD 1,210,1499,3568
HD 2,214,1502,4711
HD 3,285,2359,3435
HD 4,226,1747,5106
HD 5,213,4369,3027
HD 6,245,2523,4899
HD 7,307,2012,2604
HD 8,274,2055,4045
HD 9,229,1404,3349
HD 10,210,2294,5206
HD 11,204,1762,4754
HD 12,303,2717,3699
HD 13,273,1460,5090
HD 14,343,1716,4052
HD 15,231,2268,1476
HD 16,169,2789,1054
HD 17,201,1539,4016
HD 18,193,1087,3204
HD 19,162,1458,3861
HD 20,178,2353,4045
HD 21,205,2261,2841
HD 22,248,1878,2377
HD 23,204,1944,2024
HD 24,201,2102,2207
HD 25,214,2026,2194
HD 26,223,1441,1615
HD 27,204,1707,3930
HD 28,261,1955,2275
HD 29,177,1396,4035
HD 30,181,1227,4432
HD 31,157,2026,1436
HD 32,154,2306,1529
HD 33,215,1353,3575
HD 34,218,1455,4242
HD 35,231,1017,4506
HD 36,193,1229,3989
HD 37,174,893,5252
HD 38,251,1417,3002
HD 39,218,1106,4167
HD 40,290,1352,5500
HD 41,100,1484,1636
HD 42,169,1936,1766
HD 43,315,1842,3251
HD 44,250,2016,2986
HD 45,199,1760,3161
HD 46,191,2605,3717
HD 47,228,2356,1997
HD 48,251,2608,2406
HD 49,278,2050,1597
HD 50,306,1955,2063
HD 51,313,2238,2537
HD 52,293,1788,2231
HD 53,283,2799,6610
HD 54,267,2468,4132
HD 55,280,1637,3402
HD 56,302,1593,3456
HD 57,177,1300,4571
HD 58,275,2498,4303
HD 59,227,2583,4473
HD 60,287,3531,3030
HD 61,175,5256,3148
HD 62,296,5807,2603
HD 63,383,3565,2272
HD 64,291,4071,4489
HD 65,440,6064,3702
HD 66,314,4792,1847
HD 67,365,2809,3996
HD 68,296,2202,4148
HD 69,232,1988,4980
HD 70,239,2258,5336
HD 71,293,2446,5069
HD 72,230,1938,4134
HD 73,252,3212,1730
HD 74,265,2942,1411
HD 75,230,2554,4344
HD 76,168,4058,2244
HD 77,275,2918,2759
HD 78,211,1779,2247
HD 79,178,4029,2753
HD 80,256,2310,4842
HD 81,237,3565,2627
HD 82,213,3513,2639
HD 83,230,3172,2294
HD 84,235,3173,2761
HD 85,230,1909,5200
HD 86,251,2612,3889
HD 87,286,1867,4987
HD 88,296,2495,4481
HD 89,169,3449,2237
HD 90,186,4154,1785
HD 91,169,5756,1129
HD 92,285,2686,3094
HD 93,249,2246,2814
HD 94,253,3421,2767
HD 95,294,4263,1328
HD 96,356,3699,3483
HD 97,243,2821,3404
HD 98,284,3657,2377
HD 99,209,3887,2471
HD 100,235,5466,1073